episode,timestamp,total_reward,ticks_survived,termination_reason,speed_multiplier,learning_rate,entropy_coeff,hidden_size
40,13:58:00,16.00,218,Perished (HP:-11),10.0,0.0001,0.002,256
41,13:58:09,59.75,500,Max Ticks (500),10.0,0.0001,0.002,256
42,13:58:18,63.65,500,Max Ticks (500),10.0,0.0001,0.002,256
43,13:58:27,42.95,500,Max Ticks (500),10.0,0.0001,0.002,256
44,13:58:36,64.75,500,Max Ticks (500),10.0,0.0001,0.002,256
45,13:58:45,40.50,500,Max Ticks (500),10.0,0.0001,0.002,256
46,13:58:54,47.35,500,Max Ticks (500),10.0,0.0001,0.002,256
47,13:59:03,72.90,500,Max Ticks (500),10.0,0.0001,0.002,256
48,13:59:12,79.70,500,Max Ticks (500),10.0,0.0001,0.002,256
49,13:59:21,43.25,500,Max Ticks (500),10.0,0.0001,0.002,256
50,13:59:29,32.05,500,Max Ticks (500),10.0,0.0001,0.002,256
51,13:59:38,34.95,500,Max Ticks (500),10.0,0.0001,0.002,256
52,13:59:47,35.95,500,Max Ticks (500),10.0,0.0001,0.002,256
53,13:59:56,44.90,500,Max Ticks (500),10.0,0.0001,0.002,256
54,14:00:07,29.05,500,Max Ticks (500),10.0,0.0001,0.002,256
55,14:00:16,46.75,500,Max Ticks (500),10.0,0.0001,0.002,256
56,14:00:25,54.65,500,Max Ticks (500),10.0,0.0001,0.002,256
57,14:00:31,31.15,335,Perished (HP:-9),10.0,0.0001,0.002,256
58,14:00:41,36.30,500,Max Ticks (500),10.0,0.0001,0.002,256
59,14:00:50,50.60,500,Max Ticks (500),10.0,0.0001,0.002,256
60,14:00:53,27.00,158,Perished (HP:0),10.0,0.0001,0.002,256
